"modul","semester","termin","pruefer","anzahl","bestanden","nichtBestanden","schnitt","schnittBestanden","X1_0","X1_3","X1_7","X2_0","X2_3","X2_7","X3_0","X3_3","X3_7","X4_0","X5_0","ohneNote"
3354,55,"09.07.2012","Ibanez Diaz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354,56,"05.01.2013","Ibanez Diaz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354,59,"15.07.2014","Ibanez Diaz",26,26,0,1.858,1.858,23.1,15.4,7.7,11.5,19.2,23.1,NA,NA,NA,NA,NA,NA
3354,61,"30.07.2015","Ibanez Diaz",10,9,1,2.37,2.078,NA,30,40,NA,NA,NA,NA,NA,NA,20,10,NA
6638,58,"18.11.2013","Keser",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6638,62,"25.10.2015","Keser",12,8,4,3.225,2.337,NA,8.3,8.3,8.3,8.3,16.7,16.7,NA,NA,NA,33.3,NA
12587,52,"14.04.2011","Rai",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12587,54,"01.02.2012","Rai",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12587,57,"15.08.2013","Ghosh",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12591,53,"03.11.2011","Gehringer",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12591,53,"16.06.2011","Gehringer",22,22,0,1.995,1.995,18.2,27.3,9.1,4.5,13.6,13.6,NA,NA,4.5,9.1,NA,NA
12591,55,"16.07.2012","Gehringer",10,6,4,3.23,2.05,10,20,NA,NA,NA,10,20,NA,NA,NA,40,NA
12591,55,"11.06.2012","Gehringer",21,18,3,2.367,1.928,14.3,9.5,19,14.3,9.5,9.5,4.8,4.8,NA,NA,14.3,NA
12591,57,"16.07.2013","Gehringer",20,19,1,2.665,2.542,NA,5,20,5,5,30,15,5,10,NA,5,NA
12591,57,"27.05.2013","Gehringer",25,23,2,1.78,1.5,32,24,8,24,NA,NA,NA,4,NA,NA,8,NA
12591,59,"05.08.2014","Gehringer",11,11,0,2.618,2.618,18.2,9.1,18.2,NA,NA,NA,NA,9.1,36.4,9.1,NA,NA
12591,59,"24.06.2014","Gehringer",31,29,2,2.481,2.307,12.9,9.7,12.9,3.2,22.6,6.5,6.5,3.2,6.5,9.7,6.5,NA
14791,53,"30.06.2011","Rai",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14791,56,"21.01.2013","Vadlamannati",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14791,58,"28.02.2014","Vollmer",11,11,0,2.045,2.045,27.3,NA,36.4,9.1,NA,9.1,NA,NA,NA,18.2,NA,NA
14791,60,"28.02.2015","Vollmer",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17624,54,"03.04.2012","Boukouras",14,11,3,2.786,2.182,21.4,7.1,7.1,14.3,NA,NA,7.1,7.1,7.1,7.1,21.4,NA
17624,54,"28.02.2012","Boukouras",36,26,10,3.131,2.412,8.3,5.6,11.1,11.1,8.3,2.8,2.8,5.6,8.3,8.3,27.8,NA
17624,56,"09.04.2013","Aytimur",18,12,6,3.65,2.975,5.6,NA,NA,NA,5.6,16.7,5.6,16.7,11.1,5.6,33.3,NA
17624,56,"12.02.2013","Aytimur",19,17,2,2.784,2.524,5.3,5.3,5.3,15.8,15.8,10.5,5.3,15.8,5.3,5.3,10.5,NA
17624,58,"15.04.2014","Aytimur",17,11,6,3.359,2.464,11.8,NA,5.9,11.8,5.9,NA,11.8,NA,17.6,NA,35.3,NA
17624,58,"11.02.2014","Aytimur",22,16,6,3.15,2.456,18.2,4.5,4.5,NA,18.2,NA,NA,NA,13.6,13.6,27.3,NA
17624,60,"07.04.2015","Aytimur",18,17,1,3.056,2.941,NA,NA,5.6,NA,22.2,16.7,16.7,11.1,11.1,11.1,5.6,NA
17624,60,"18.12.2014","Aytimur",37,28,9,3.303,2.757,2.7,5.4,2.7,2.7,16.2,16.2,5.4,8.1,NA,16.2,24.3,NA
17624,62,"14.01.2016","Aytimur",37,30,7,2.827,2.32,10.8,5.4,10.8,8.1,18.9,8.1,2.7,2.7,2.7,10.8,18.9,NA
17625,54,"11.04.2012","Bittencourt",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17625,54,"11.01.2012","Bittencourt",27,24,3,2.593,2.355,NA,NA,3.7,NA,3.7,NA,7.4,NA,NA,7.4,3.7,NA
17625,56,"04.04.2013","Trimborn",15,14,1,2.353,2.164,20,NA,13.3,13.3,26.7,NA,NA,6.7,13.3,NA,6.7,NA
17625,56,"21.02.2013","Trimborn",34,29,5,2.824,2.448,8.8,5.9,11.8,14.7,8.8,5.9,2.9,8.8,5.9,11.8,14.7,NA
17625,58,"10.04.2014","Prettner",26,26,0,2.496,2.496,23.1,7.7,7.7,3.8,7.7,3.8,3.8,15.4,7.7,19.2,NA,NA
17625,58,"20.02.2014","Prettner",33,31,2,2.391,2.223,15.2,6.1,12.1,15.2,12.1,6.1,12.1,9.1,NA,6.1,6.1,NA
17625,60,"09.04.2015","Trimborn",18,13,5,2.939,2.146,11.1,11.1,11.1,NA,11.1,11.1,NA,16.7,NA,NA,27.8,NA
17625,60,"19.02.2015","Trimborn",30,26,4,3.107,2.815,3.3,3.3,NA,20,10,3.3,10,13.3,10,13.3,13.3,NA
17625,62,"25.02.2016","Trimborn",33,28,5,2.636,2.214,9.1,12.1,6.1,18.2,6.1,15.2,6.1,6.1,3,3,15.2,NA
17663,54,"21.02.2012","Geishecker",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18853,54,"12.12.2011","Aytimur",12,12,0,2.192,2.192,NA,16.7,16.7,16.7,25,8.3,8.3,NA,8.3,NA,NA,NA
18853,54,"15.07.2011","Aytimur",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24289,54,"17.02.2012","Baskaran",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
